Symbol,Name,Time
EBAY,Ebay Inc,7/17/2024
ECL,Ecolab Inc,7/17/2024
ED,Consolidated Edison Company,7/17/2024
EFX,Equifax Inc,7/17/2024
EG,Everest Re Group,7/17/2024
EIX,Edison International,7/17/2024
EL,Estee Lauder Companies,7/17/2024
ELV,Elevance Health Inc,7/17/2024
EMN,Eastman Chemical Company,7/17/2024
EMR,Emerson Electric Company,7/17/2024
ENPH,Enphase Energy Inc,7/17/2024
EOG,Eog Resources,7/17/2024
EPAM,Epam Systems Inc,7/17/2024
EQIX,Equinix Inc,7/17/2024
EQR,Equity Residential,7/17/2024
EQT,Eqt Corp,7/17/2024
ES,Eversource Energy,7/17/2024
ESS,Essex Property Trust,7/17/2024
ETN,Eaton Corp,7/17/2024
ETR,Entergy Corp,7/17/2024
ETSY,Etsy Inc,7/17/2024
EVRG,Evergy Inc,7/17/2024
EW,Edwards Lifesciences Corp,7/17/2024
EXC,Exelon Corp,7/17/2024
EXPD,Expeditors Intl,7/17/2024
EXPE,Expedia Group Inc,7/17/2024
EXR,Extra Space Storage Inc,7/17/2024
F,Ford Motor Company,7/17/2024
FANG,Diamondback Energy,7/17/2024
FAST,Fastenal Company,7/17/2024
FCX,Freeport-Mcmoran Inc,7/17/2024
FDS,Factset Research Systems Inc,7/17/2024
FDX,Fedex Corp,7/17/2024
FE,Firstenergy Corp,7/17/2024
FFIV,F5 Inc,7/17/2024
FI,Fiserv Inc,7/17/2024
FICO,Fair Isaac and Company,7/17/2024
FIS,Fidelity National Information Services,7/17/2024
FITB,Fifth Third Bancorp,7/17/2024
FMC,FMC Corp,7/17/2024
FOX,Fox Corp Cl B,7/17/2024
FOXA,Fox Corp Cl A,7/17/2024
FRT,Federal Realty Investment Trust,7/17/2024
FSLR,First Solar Inc,7/17/2024
FTNT,Fortinet Inc,7/17/2024
FTV,Fortive Corp,7/17/2024
GD,General Dynamics Corp,7/17/2024
GDDY,Godaddy Inc,7/17/2024
GE,GE Aerospace,7/17/2024
GEHC,GE Healthcare Technologies Inc,7/17/2024
GEN,Gen Digital Inc,7/17/2024
GEV,GE Vernova Inc,7/17/2024
GILD,Gilead Sciences Inc,7/17/2024
GIS,General Mills,7/17/2024
GL,Globe Life Inc,7/17/2024
GLW,Corning Inc,7/17/2024
GM,General Motors Company,7/17/2024
GNRC,Generac Holdings Inc,7/17/2024
GOOG,Alphabet Cl C,7/17/2024
GOOGL,Alphabet Cl A,7/17/2024
GPC,Genuine Parts Company,7/17/2024
GPN,Global Payments Inc,7/17/2024
GRMN,Garmin Ltd,7/17/2024
GS,Goldman Sachs Group,7/17/2024
GWW,W.W. Grainger,7/17/2024
HAL,Halliburton Company,7/17/2024
HAS,Hasbro Inc,7/17/2024
HBAN,Huntington Bancshares Inc,7/17/2024
HCA,Hca Holdings Inc,7/17/2024
HD,Home Depot,7/17/2024
HES,Hess Corp,7/17/2024
HIG,Hartford Financial Services Group,7/17/2024
HII,Huntington Ingalls Industries,7/17/2024
HLT,Hilton Inc,7/17/2024
HOLX,Hologic Inc,7/17/2024
HON,Honeywell International Inc,7/17/2024
HPE,Hewlett Packard Enterprise Comp,7/17/2024
HPQ,HP Inc,7/17/2024
HRL,Hormel Foods Corp,7/17/2024
HSIC,Henry Schein Inc,7/17/2024
HST,Host Marriott Financial Trust,7/17/2024
HSY,Hershey Foods Corp,7/17/2024
HUBB,Hubbell Inc B,7/17/2024
HUM,Humana Inc,7/17/2024
HWM,Howmet Aerospace Inc,7/17/2024
IBM,International Business Machines,7/17/2024
ICE,Intercontinental Exchange,7/17/2024
IDXX,Idexx Laboratories,7/17/2024
IEX,Idex Corp,7/17/2024
IFF,International Flavors & Fragrances,7/17/2024
INCY,Incyte Corp,7/17/2024
INTC,Intel Corp,7/17/2024
INTU,Intuit Inc,7/17/2024
INVH,Invitation Homes Inc,7/17/2024
IP,International Paper Company,7/17/2024
IPG,Interpublic Group of Companies,7/17/2024
IQV,Iqvia Holdings Inc,7/17/2024
IR,Ingersoll Rand Inc,7/17/2024
IRM,Iron Mountain Inc,7/17/2024
ISRG,Intuitive Surg Inc,7/17/2024
IT,Gartner Inc,7/17/2024
ITW,Illinois Tool Works Inc,7/17/2024
IVZ,Invesco Plc,7/17/2024
J,Jacobs Engineering Group Inc,7/17/2024
JBHT,J B Hunt Transport,7/17/2024
JBL,Jabil Circuit,7/17/2024
JCI,Johnson Controls Intl,7/17/2024
JKHY,Jack Henry & Assoc,7/17/2024
JNJ,Johnson & Johnson,7/17/2024
JNPR,Juniper Networks,7/17/2024
JPM,JP Morgan Chase & Company,7/17/2024
K,Kellanova,7/17/2024
KDP,Keurig Dr Pepper Inc,7/17/2024
KEY,Keycorp,7/17/2024
